,x coord,y coord,quality,x mm,y mm,x%,y%
30,435,472,0.84375,6.996302250803859,-30.329099678456593,0.1179516522094556,-0.7385632455486812
31,336,505,0.84375,-7.153376205787782,-35.04565916398714,-0.12059978430056112,-0.8534191930838217
32,292,217,0.84375,-13.442122186495178,6.117041800643087,-0.22662264497167964,0.14895998540467764
33,684,218,0.8333333333333337,42.58488745980708,5.97411575562701,0.7179446591891946,0.14547950214603703
34,749,21,0.8250000000000004,51.875080385852094,34.13054662379421,0.8745693397260743,0.8311347040982396
35,701,401,0.8250000000000004,45.01463022508039,-20.181350482315114,0.7589080371757632,-0.49144893418519703
36,530,442,0.8250000000000004,20.574276527331193,-26.041318327974277,0.34686464684027973,-0.6341487477894625
37,679,462,0.8125,41.870257234726694,-28.89983922829582,0.7058966068402039,-0.703758412962275
38,658,420,0.8125,38.86881028938907,-22.89694533762058,0.6552947869744427,-0.5575781160993688
39,579,169,0.8125,27.577652733118974,12.977491961414792,0.46493555986038904,0.31602318181942757
40,475,287,0.8125,12.713344051446946,-3.887781350482315,0.21433607100138155,-0.09467384270016596
41,459,348,0.8125,10.42652733118971,-12.606270096463023,0.17578230348461116,-0.30698332147724394
42,365,373,0.8125,-3.0085209003215434,-16.179421221864953,-0.050721080676414794,-0.3939954029432596
43,144,280,0.8125,-34.595176848874594,-2.887299035369775,-0.5832449945018056,-0.07031045988968161
44,555,347,0.8000000000000004,24.14742765273312,-12.463344051446946,0.40710490858523346,-0.30350283821860335
45,397,467,0.8000000000000004,1.5651125401929262,-29.61446945337621,0.02638645435712596,-0.7211608292554782
46,344,76,0.7916666666666664,-6.0099678456591645,26.269614147909966,-0.10132290054217592,0.6397081248730054
47,220,483,0.7916666666666664,-23.73279742765273,-31.901286173633444,-0.4001145987971463,-0.7768485613937282
48,538,334,0.78125,21.717684887459807,-10.605305466237942,0.3661415305986649,-0.2582565558562752
49,519,480,0.78125,19.002090032154342,-31.47250803858521,0.32035893167250007,-0.7664071116178063
50,427,408,0.78125,5.852893890675241,-21.181832797427653,0.09867476845107041,-0.5158123169956813
51,169,420,0.78125,-31.02202572347267,-22.89694533762058,-0.5230047327568519,-0.5575781160993688
52,133,425,0.78125,-36.167363344051445,-23.611575562700967,-0.6097507096695852,-0.574980532392572
53,98,470,0.78125,-41.16977491961415,-30.04324758842444,-0.6940870761125204,-0.7316022790314
54,241,253,0.7750000000000004,-20.73135048231511,0.9717041800643087,-0.34951277893138516,0.023662588093615215
55,700,498,0.7500000000000003,44.87170418006431,-34.0451768488746,0.756498426705965,-0.8290558102733374
56,346,412,0.7500000000000003,-5.72411575562701,-21.75353697749196,-0.09650367960257962,-0.5297342500302439
57,206,173,0.7500000000000003,-25.73376205787781,12.405787781350483,-0.43384914537432034,0.30210124878486505
58,180,466,0.7500000000000003,-29.44983922829582,-29.47154340836013,-0.4964990175890722,-0.7176803459968375
59,734,66,0.75,49.731189710610934,27.698874598070738,0.838425182679102,0.6745129574594116
60,492,164,0.75,15.143086816720258,13.692122186495178,0.2552994489879501,0.3334255981126307
61,334,322,0.75,-7.4392282958199365,-8.890192926045016,-0.12541900524015742,-0.21649075675258775
